"2009 American League
Team Standings"
East,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
New York Yankees,103,59,0,.636,--,"$201,449,189"
Boston Red Sox,95,67,0,.586,8,"$121,745,999"
Tampa Bay Rays,84,78,0,.519,19,"$63,313,034"
Toronto Blue Jays,75,87,0,.463,28,"$80,538,300"
Baltimore Orioles,64,98,0,.395,39,"$67,101,666"
Central,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Minnesota Twins,87,76,0,.534,--,"$65,299,266"
Detroit Tigers,86,77,0,.528,1,"$115,085,145"
Chicago White Sox,79,83,0,.488,7½,"$96,068,500"
Cleveland Indians,65,97,0,.401,21½,"$81,579,166"
Kansas City Royals,65,97,0,.401,21½,"$70,519,333"
West,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Los Angeles Angels,97,65,0,.599,--,"$113,709,000"
Texas Rangers,87,75,0,.537,10,"$68,178,798"
Seattle Mariners,85,77,0,.525,12,"$98,904,166"
Oakland Athletics,75,87,0,.463,22,"$62,310,000"
2009 American League Final Standings
"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: N.L. Leaderboard | Rookies List
Average Salary: $3,240,206.81
Minimum Salary: $390,000.00"
